,LSTM,ARIMA,XGBoost,Hybrid
2024-12-10,32.70920181274414,36.19718354834996,33.5706787109375,33.95076790795215
2024-12-11,31.85470962524414,34.11565578766452,32.653709411621094,32.731414397512395
2024-12-12,31.25539207458496,31.93979040766576,31.7567138671875,31.598326148747724
2024-12-13,30.879539489746094,30.336059307989586,28.329816818237305,29.964105667713042
2024-12-16,30.6450138092041,30.361488317722692,21.036027908325195,27.692941140424992
2024-12-17,30.463045120239258,31.075388327546488,20.387317657470703,27.624219698857406
2024-12-18,30.258943557739258,31.48420728605263,19.829853057861328,27.48742467888488
2024-12-19,29.981950759887695,31.61033363308856,19.735502243041992,27.378755919522497
2024-12-20,29.6065673828125,31.5296969575483,19.787559509277344,27.21429031046608
2024-12-23,29.138700485229492,31.403958472916578,19.610055923461914,26.929737353641023
2024-12-24,28.591327667236328,31.34234804296755,20.276378631591797,26.882182022615808
2024-12-25,27.987869262695312,31.342882163584793,20.23296356201172,26.616524155071183
2024-12-26,27.343414306640625,31.367250058463966,20.275569915771484,26.366125585657265
2024-12-27,26.675094604492188,31.387641967385647,20.434429168701172,26.139354051770958
2024-12-30,25.996196746826172,31.393935341103745,20.52387237548828,25.883424777851864
